Названия строк,Переходы на карточку товара,Добавления в корзину,Заказано товаров в рамках окна атрибуции (шт.)
bloger-peshkova/cpm,0.0,0.0,0.0
dzen_medvedeva/cpc,0.0,0.0,0.0
prelending-nastolnaya-igra/cpc,1.0,1.0,2.0
pustovoitov/video,37.0,3.0,0.0
telegram/cpc,8.0,0.0,0.0
telegram-peshkova/post,24.0,1.0,0.0
youtube-bookst-26-12-25/video,4.0,1.0,0.0
youtube-jarinov/video,78.0,8.0,0.0
youtube-peshkova/video,3.0,1.0,0.0
youtube-peshkova-16-01-26/video,7.0,0.0,0.0
youtube-peshkova-21-01-26/video,1.0,0.0,0.0
youtube-peshkova-23-12-25 /video,4.0,0.0,0.0
Общий итог,178.0,20.0,2.0
