сегмент,привлечено,отписки,процент_отписок
саморазвитие,50.0,20.0,40.0
психология,215.0,54.0,25.116279069767444
история,230.0,55.0,23.91304347826087
микс,1063.0,250.0,23.518344308560675
литература,395.0,90.0,22.78481012658228
конкурс микс,477.0,105.0,22.0125786163522
русский язык,311.0,63.0,20.257234726688104
траффик на конкурс,129.0,24.0,18.6046511627907
новости/образование,202.0,33.0,16.33663366336634
новости/политика,73.0,9.0,12.32876712328767
ИТОГО,3145.0,703.0,22.35294117647059
