Проект,KPI,Deadline
Я Директ,,
VK таргет,,
TG таргет,,
Посевы TG,1000.0,2025-09-05 00:00:00
Посевы ВК,1000.0,2025-09-05 00:00:00
Посевы YouTube,,
Ментальный инжинир,20-30к просмотров,Комменты органика
Telegram общее,,
ВК общее,,
,,
,,
Метки в РК,,
site,трафик на сайт,
preland,трафик на преленд или на quiz,
ozon,трафик на ozon,
dm,трафик на детский мир,
telegram,"трафик на телеграм ""Потолкуем""",
post,продвижение постов на охват,
video,продвижение видео на охват,
groups,реклама на привлечение подписчиков,
,,
Распределение бюджета,190000,400000.0
Посевы,210000,
MAX,30000.0,
Дзен,30000.0,
ВК,150000.0,
Реклама,210000,
Директ,100000.0,
"На сайт (главная, через блог по ключам)",30000.0,
По играм,,
https://potolkuem.pro/business,10000.0,
Ретаргетинг,10000.0,
Медийка,30000.0,
VK,100000.0,
Ролики на охват с переходом на блог,,
TG,пока без бюджета,
SEO ссылки или мот трафик,?,
SEO сервис,?,
Остальные сервисы,?,
