month,week,Итого|Расход,Итого|Показы,Итого|Клики,Итого|Сессии,Итого|Корзина,Итого|Продажи,OZON (Органика)|Корзина,OZON (Органика)|Продажи,OZON (Внутр. реклама)|Расход,OZON (Внутр. реклама)|Корзина,Wildberries  (Органика)|Корзина,Wildberries  (Органика)|Продажи,Wildberries (Внутр. реклама)|Расход,Wildberries (Внутр. реклама)|Корзина,Яндекс Маркет (Органика)|Корзина,Яндекс Маркет (Органика)|Продажи,Яндекс Маркет (Внутр. реклама)|Расход,Яндекс Маркет (Внутр. реклама)|Корзина,Мегамаркет (Органика)|Корзина,Мегамаркет (Органика)|Продажи,Мегамаркет  (Внутр. реклама)|Расход,Мегамаркет  (Внутр. реклама)|Корзина,Детский Мир (Органика)|Корзина,Детский Мир (Органика)|Продажи,Детский Мир (Внутр. реклама)|Расход,Детский Мир (Внутр. реклама)|Корзина
май,19.05 - 25.05,13116.52,33301,4091,1721,88,15,79.0,9.0,12639.67,9,,,0,0,9.0,6.0,476.85,2,,,0,0,,,0,0
май,26.05 - 31.05,13195.5,6946,779,472,38,12,35.0,12.0,12495.9,2,,,0,0,3.0,0.0,699.6,2,,,0,0,,,0,0
июнь,01.06 - 08.06,23270.03,4109,279,218,69,13,61.0,11.0,22863.03,1,,,0,0,8.0,2.0,407,1,,,0,0,,,0,0
июнь,09.06 - 15.06,1.16,305,14,13,66,12,63.0,12.0,1.16,0,,,0,0,3.0,0.0,0,1,,,0,0,,,0,0
июнь,16.06 - 22.06,30600.86,240601,4671,44,103,14,94.0,13.0,30600.86,0,,,0,0,9.0,1.0,0,0,,,0,0,,,0,0
июнь,23.06 - 30.06,80572.34,669916,8565,783,237,31,139.0,18.0,80572.34,52,88.0,10.0,0,0,10.0,3.0,0,0,,,0,0,,,0,0
июль,01.07 - 06.07,28553.55,242609,2980,326,145,28,70.0,16.0,28553.55,28,65.0,8.0,0,0,10.0,4.0,0,0,,,0,0,,,0,0
июль,07.07 - 13.07,15365.39,11713,241,204,87,14,53.0,12.0,15365.39,27,33.0,2.0,0,0,1.0,0.0,0,0,,,0,0,,,0,0
июль,14.07 - 20.07,6670,5360,121,121,81,27,38.0,12.0,6670,18,41.0,14.0,0,0,2.0,1.0,0,0,,,0,0,,,0,0
июль,21.07 - 27.07,12097,4961,129,129,140,21,65.0,12.0,12097,28,71.0,8.0,0,0,4.0,1.0,0,0,,,0,0,,,0,0
июль,28.07 - 31.07,26264.83,49777,496,496,58,4,35.0,2.0,24992,21,23.0,2.0,1272.83,2,0.0,0.0,0,0,,,0,0,,,0,0
август,01.08 - 03.08,20786.08,32452,398,398,48,4,28.0,2.0,19802,17,19.0,2.0,984.08,6,1.0,0.0,0,1,,,0,0,,,0,0
август,04.08 - 10.08,24373.62,43420,492,492,109,18,54.0,7.0,23618,19,52.0,10.0,755.62,3,3.0,1.0,0,1,,,0,0,,,0,0
август,11.08 - 17.08,2167.89,2536,54,54,122,14,43.0,7.0,2166,8,78.0,7.0,1.89,0,1.0,0.0,0,0,,,0,0,,,0,0
август,18.08 - 24.08,4861.41,1147,36,16,112,11,38.0,3.0,3466,1,70.0,8.0,0,0,4.0,0.0,0,0,,,0,0,,,1395.41,0
август,25.08 - 31.08,5147.29,305,26,5,90,28,38.0,13.0,3416,2,44.0,12.0,0,0,8.0,3.0,0,0,,,0,0,,,1731.29,0
Сентябрь,01.09 - 07.09,2050.23,166,34,0,130,22,43.0,3.0,0,0,84.0,19.0,0,0,3.0,0.0,0,0,,,0,0,,,2050.23,0
Сентябрь,08.09 - 14.09,1973.42,127,21,0,124,14,67.0,9.0,0,0,55.0,5.0,0,0,2.0,0.0,0,0,,,0,0,,,1973.42,0
Сентябрь,15.09 - 21.09,0,0,0,0,103,12,21.0,4.0,0,0,74.0,6.0,0,0,8.0,2.0,0,0,,,0,0,,,0,0
Сентябрь,22.09 - 28.09,0,0,0,0,96,11,37.0,5.0,0,0,57.0,5.0,0,0,2.0,1.0,0,0,,,0,0,,,0,0
Сентябрь,29.09 - 30.09,0,0,0,0,57,5,33.0,0.0,0,0,20.0,4.0,0,0,4.0,1.0,0,0,,,0,0,,,0,0
Сентябрь,01.10 - 05.10,0,0,0,0,62,4,31.0,1.0,0,0,26.0,1.0,0,0,5.0,2.0,0,0,,,0,0,,,0,0
Сентябрь,06.10 - 12.10,0,0,0,0,124,8,71.0,3.0,0,0,48.0,4.0,0,0,5.0,1.0,0,0,,,0,0,,,0,0
Сентябрь,13.10 - 19.10,0,0,0,0,109,14,49.0,7.0,0,0,57.0,7.0,0,0,3.0,0.0,0,0,,,0,0,,,0,0
Сентябрь,20.10 - 26.10,0,0,0,0,106,20,53.0,6.0,0,0,43.0,10.0,0,0,10.0,4.0,0,0,,,0,0,,,0,0
Сентябрь,27.10 - 31.10,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
