сегмент,сообщество,ссылка,формат,подписчики,просмотры,er,цена,cpv
бизнес,Белый Лебедь • Про Бизнес и Финансы,https://telega.in/channels/SwamCapital/card,1/24,36500.0,6600.0,0.1808219178,4965.0,0.7522727273
бизнес,Реализуй на 100%,https://telega.in/channels/realizuy_na100/card,1/24,5300.0,838.0,0.1581132075,1048.0,1.250596659
бизнес,Business Strategy,https://telega.in/channels/bussinessstrategy/card?r=PVs-fJHZ,1/24,11028.0,3600.0,0.3264417845,4615.0,1.281944444
бизнес,Base Of Business,https://telega.in/channels/baseofbusiness/card,1/24,8000.0,2700.0,0.3375,3496.0,1.294814815
бизнес,Business HUB | Стартапы | Бизнес | Финансы |,https://telega.in/channels/business_hub13/card,1/24,9100.0,2500.0,0.2747252747,3636.0,1.4544
дети и родители развитие,ИСКУССТВО ВОСПИТАНИЯ,https://telega.in/channels/iskusstvo_vospitaniya/card?r=PVs-fJHZ,1/24,14300.0,2700.0,0.1888111888,2377.0,0.8803703704
дети и родители развитие,Растим читающих детей! Детские книги,https://telega.in/channels/readkids_books/card,1/24,4300.0,725.0,0.1686046512,1118.0,1.542068966
дети и родители развитие,Музеи для детей в Москве,https://telega.in/channels/deti_v_musee/card,1/24,4400.0,1000.0,0.2272727273,2097.0,2.097
литература юмор,Стихи в четыре строки,https://telega.in/channels/piroshkiii/card,1/24,30300.0,5700.0,0.1881188119,6993.0,1.226842105
образование,Кладовая педагога!️,https://telega.in/channels/kladpedagoga/card?r=PVs-fJHZ,1/24,10200.0,2000.0,0.1960784314,1398.0,0.699
образование,БогданоV. О школе и не только,https://telega.in/channels/aboutschools/card?r=PVs-fJHZ,1/24,25000.0,18400.0,0.736,13986.0,0.7601086957
образование,"Все конкурсы, гранты, вакансии",https://telega.in/channels/vsekonkursy/card?r=PVs-fJHZ,1/24,45900.0,6100.0,0.1328976035,11888.0,1.948852459
психология,Без фильтров | Психология для НЕидеальных,https://telega.in/channels/waytohap/card,1/24,10400.0,2000.0,0.1923076923,1398.0,0.699
психология,Душевный Мир,https://telega.in/channels/melodiaduhi/card?r=PVs-fJHZ,1/24,4479.0,790.0,0.1763786559,699.0,0.8848101266
