сегмент,сообщество,ссылка,формат,подписчики,просмотры,er,цена,cpv
новости,Многонационал,https://vk.com/club226283679,1/24,20080.0,3356.0,0.0946,714.0,0.2127532777
новости блог,Мама В Шапке,https://vk.com/mama.v.shapke,1/24,37083.0,5507.0,0.0611,14285.0,2.593971309
новости фан страница политика,Скотт Риттер Фан,https://vk.com/skott_ritter,1/24,161233.0,6872.0,0.0378,1428.0,0.2077997672
"новости, блог",Включай Мозги,https://vk.com/club211018905,1/24,36551.0,6919.0,0.0495,2857.0,0.4129209423
"новости, блог",Настя про Нижний Новгород,https://vk.com/club225406006,1/24,11343.0,2190.0,0.0163,1428.0,0.6520547945
"новости, блог",КПО - Анна Руднева,https://vk.com/club44965226,1/24,35000.0,1439.0,0.0163,1258.0,0.8742182071
"новости, политика,блог",NARAN_OFFICIAL,https://vk.com/public154087762,1/24,39928.0,1562.0,0.0754,142.0,0.09090909091
"новости, фан страница политика",Такер Карлсон на русском,https://vk.com/taker_karlson,1/24,135644.0,5507.0,0.035699999999999996,1428.0,0.2593063374
"политика, блог",Дмитрий Дробницкий,https://vk.com/club225580481,1/24,28280.0,5283.0,0.038599999999999995,571.0,0.1080825289
"политика, блог",Иван Дымов,https://vk.com/dymdymov,1/24,24595.0,3071.0,0.0444,571.0,0.1859329209
"политика, блог",Советский,https://vk.com/club150019313,1/24,237020.0,14564.0,0.0327,14285.0,0.980843175
"политика,блог",Саня во Флориде,https://vk.com/sanya_florida,1/24,115114.0,5103.0,0.023399999999999997,14285.0,2.799333725
"политика,сво,блог",Юрий Подоляка | Образование и Общество,https://vk.com/club213221007,1/24,147970.0,15770.0,0.016200000000000003,1714.0,0.1086873811
психология фан страница психолога,Психология // Лабковский,https://vk.com/club141834166,1/24,552514.0,27705.0,0.0197,1714.0,0.06186608915
"традиции, семья, отношение >55 ца",Счастливая мама: советы по дому!,https://vk.com/mamahomeclub,1/24,172037.0,19454.0,0.0572,285.0,0.01464994346
философия,ИНТРОВЕРТ,https://vk.com/typicalintrovert,1/24,367751.0,20952.0,0.045700000000000005,1571.0,0.07498090874
"экономика,блог",Руслан Скутин,https://vk.com/club226274244,1/24,5073.0,432.0,0.0296,357.0,0.8263888889
, №73 Религия,В Духе и Истине,128422325.0,,142.0,Отменена,,
, №73 Религия,Свидетельства Христиан,115497170.0,,714.0,Отменена,,
, №73 Религия,Свидетельства Христиан,115497170.0,,714.0,Отменена,,
, №73 Религия,Свидетельства Христиан,115497170.0,,714.0,Отменена,,
, №73 Религия,Жизнь после смерти 2.0,144132921.0,,1428.0,Отменена,,
, №73 Религия,Отец Иоанн Крестьянкин Псково-Печерский,218699508.0,,1428.0,Отменена,,
,№71 История,Пенсионеры из СССР,45987285.0,6258.0,142.0,Отменена,,
,№71 История,"ГОРОД, КОТОРОГО БОЛЬШЕ НЕТ",998865.0,20469.0,314.0,Отменена,,
,№71 История,Елизавета Федоровна - Белая Лилия Дома Романовых,76114107.0,9726.0,714.0,Отменена,,
,№71 История,Дух прекрасной эпохи,218453686.0,87023.0,1428.0,Отменена,,
,№71 История,Тартария,56176006.0,12680.0,5857.0,Отменена,,
,№72 Литература,"Книжный вдохновитель | Литература, хобби, досуг",210902204.0,,2142.0,Отменена,,
,№74 Русский язык,ДЕФЕКТОЛОГ и Я,62979904.0,,457.0,Отменена,,
,№74 Русский язык,Русский язык для лентяев,38738867.0,,1428.0,Отменена,,
,,https://vk.com/club117135410,,,,,,
,,https://vk.com/chto.budet.esli,,,,,,
,,https://vk.com/udvfakt,,,,,,
,,https://vk.com/sci_gif,,,,,,
,,https://vk.com/brain_up,,,,,,
,,https://vk.com/interestingfacts,,,,,,
,,https://vk.com/the_discover,,,,,,
,,https://vk.com/zeus_group,,,,,,
,,https://vk.com/xo4y3hat,,,,,,
,,https://vk.com/voworld,,,,,,
,,https://vk.com/refact,,,,,,
,,https://vk.com/vkl_discovery,,,,,,
,,https://vk.com/life2hack,,,,,,
,,https://vk.com/knows,,,,,,
,,https://vk.com/poznall,,,,,,
,,https://vk.com/ruyaz,,,,,,
,,https://vk.com/nfacty,,,,,,
,,https://vk.com/wise_thoughts,,,,,,
,,https://vk.com/solonnikov_poetry,,,,,,
,,https://vk.com/club148271502,,,,,,
,,https://vk.com/public127811605,,,,,,
,,https://vk.com/life2hack,,,,,,
,,https://vk.com/mybookland,,,,,,
,,https://vk.com/club153438667,,,,,,
,,https://vk.com/knows,,,,,,
