month,week,Итого_Расход,Итого_Показы,Итого_Клики,Итого_Сессии,Итого_Корзина,Итого_Продажи,Органика_Корзина,Органика_Продажи,ВнутрРеклама_Расход,ВнутрРеклама_Корзина
май,19.05 - 25.05,12639.67,33105,4083,1713,79,9,79.0,9.0,0,0
май,26.05 - 31.05,12495.9,6751,771,464,35,12,35.0,12.0,0,0
июнь,01.06 - 08.06,22863.03,3884,268,207,61,11,61.0,11.0,0,0
июнь,09.06 - 15.06,1.16,5,1,0,63,12,63.0,12.0,0,0
июнь,16.06 - 22.06,30600.86,240601,4671,44,94,13,94.0,13.0,0,0
июнь,23.06 - 30.06,105427.21,780742,9194,783,139,18,139.0,18.0,12395,44
июль,01.07 - 06.07,40639.55,267660,3286,326,70,16,70.0,16.0,12282,25
июль,07.07 - 13.07,16773.97,18056,317,204,53,12,53.0,12.0,14097,27
июль,14.07 - 20.07,13888.3,30586,528,121,38,12,38.0,12.0,6670,18
июль,21.07 - 27.07,13640.69,12459,261,129,65,12,65.0,12.0,12097,28
июль,28.07 - 31.07,26319.78,9709,151,30,35,2,35.0,2.0,24992,21
август,01.08 - 03.08,22474.22,12587,92,24,28,2,28.0,2.0,19802,17
август,04.08 - 10.08,0,0,0,0,0,0,,,0,0
