месяц,TG_posevy_spend,TG_pdp,VK_posevy_spend,VK_pdp,ch3_spend,ch3_pdp,total_spend,plan_210000,vs_plan_%
июль,84883.4,303.0,0,0,0,0,84883.4,210000,40.4
август,167474.4,1090.0,94651.0,1707.0,0,0,262125.4,210000,124.8
сентябрь,193163.0,952.0,106406.0,2798.0,0,0,299569.0,210000,142.7
октябрь,288346.0,1877.0,100049.0,2049.0,0,0,388395.0,210000,184.9
ноябрь,48346.2,374.0,150386.0,4120.0,0,0,198732.2,210000,94.6
декабрь,42665.0,105.0,148982.0,1725.0,0,0,191647.0,210000,91.3
январь,28308.0,353.0,148827.0,2482.0,0,0,177135.0,210000,84.4
февраль,0,0,152400.0,1455.0,0,0,152400.0,210000,72.6
март,20684.0,85.0,148372.0,978.0,0,0,169056.0,210000,80.5
апрель,31818.0,196.0,150000.0,1372.0,24491.0,266.0,206309.0,210000,98.2
май,49766.0,232.0,104443.0,963.0,91532.0,777.0,245741.0,210000,117.0
июнь,0,0,45025.0,450.0,68248.0,773.0,113273.0,210000,53.9
