месяц,tg_подписчиков,tg_потрачено,max_подписчиков,max_потрачено,vk_подписчиков,vk_потрачено,итого_подписчиков,итого_потрачено
2025-07,303.0,84883.42000000001,0,0,0,0,303.0,84883.42000000001
2025-08,1090.0,167474.41999999998,0,0,1707,94651.0,2797.0,262125.41999999998
2025-09,952.0,193163.0,0,0,2798.0,106406.0,3750.0,299569.0
2025-10,1877.0,288346.0,0,0,2049.0,100049.0,3926.0,388395.0
2025-11,374.0,48346.25,0,0,4120.0,150386.0,4494.0,198732.25
2025-12,105.0,42665.0,0,0,1725.0,148982.0,1830.0,191647.0
2026-01,353.0,28308.0,0,0,2482.0,148827.0,2835.0,177135.0
2026-02,0,0,0,0,1455.0,152400.0,1455.0,152400.0
2026-03,85.0,20684.0,0,0,978.0,148372.0,1063.0,169056.0
2026-04,196.0,31818.0,266.0,24491.0,1372.0,150000.0,1834.0,206309.0
2026-05,232.0,49766.0,777.0,91532.0,963.0,104443.0,1972.0,245741.0
2026-06,0,0,773.0,68248.0,450.0,45025.0,1223.0,113273.0
