месяц,дата,приведено,отписки,%отписок,потрачено,ст-ть_подп,крео
июль,2025-07-11 09:00:00,224.0,22.0,0.09821428571,47084.51,210.1987054,56/57/62/63/64/65
июль,2025-07-21 09:00:00,79.0,7.0,0.08860759494,37798.91,478.4672152,70/71
август,2025-08-02 09:00:00,48.0,5.0,0.1041666667,13286.7,276.80625,71/72
август,2025-08-05 09:00:00,110.0,8.0,0.07272727273,14126.72,128.4247273,73/74
август,2025-08-08 09:00:00,211.0,17.0,0.08056872038,40000.0,189.5734597,71/72/73/74
август,2025-08-09 09:00:00,224.0,28.0,0.125,30000.0,133.9285714,71/72/73/74
август,2025-08-13 09:00:00,88.0,6.0,0.06818181818,8000.0,90.90909091,71/72/74
август,2025-08-19 09:00:00,47.0,5.0,0.1063829787,4613.0,98.14893617,71/72
август,2025-08-20 09:00:00,112.0,10.0,0.08928571429,9855.0,87.99107143,71/72
август,2025-08-21 09:00:00,45.0,5.0,0.1111111111,5606.0,124.5777778,71/72
август,2025-08-22 09:00:00,82.0,7.0,0.08536585366,13808.0,168.3902439,71/72
август,2025-08-23 09:00:00,48.0,6.0,0.125,6223.0,129.6458333,71/72
август,2025-08-27 09:00:00,75.0,12.0,0.16,21956.0,292.7466667,71/72
сентябрь,2025-09-03 09:00:00,64.0,3.0,0.046875,10167.0,158.859375,74.0
сентябрь,2025-09-06 09:00:00,64.0,4.0,0.0625,14147.0,221.046875,71.0
сентябрь,2025-09-10 09:00:00,213.0,23.0,0.1079812207,25797.0,121.1126761,75.0
сентябрь,2025-09-13 09:00:00,82.0,4.0,0.0487804878,25104.0,306.1463415,76.0
сентябрь,2025-09-17 09:00:00,142.0,11.0,0.07746478873,36891.0,259.7957746,77.0
сентябрь,2025-09-20 09:00:00,79.0,5.0,0.06329113924,21019.0,266.0632911,78.0
сентябрь,2025-09-24 09:00:00,106.0,4.0,0.03773584906,30629.0,288.9528302,79.0
сентябрь,2025-09-27 14:00:00,202.0,15.0,0.07425742574,29409.0,145.5891089,80.0
октябрь,2025-10-01 14:00:00,224.0,18.0,0.08035714286,31983.0,142.78125,81.0
октябрь,2025-10-04 14:00:00,89.0,13.0,0.1460674157,28228.0,317.1685393,82.0
октябрь,2025-10-06 14:00:00,217.0,46.0,0.2119815668,22027.0,101.5069124,83.0
октябрь,2025-10-09 14:00:00,129.0,15.0,0.1162790698,53542.0,415.0542636,Конкурс
октябрь,2025-10-15 14:00:00,50.0,7.0,0.14,19076.0,381.52,
октябрь,2025-10-16 14:00:00,477.0,33.0,0.06918238994,51175.0,107.2851153,Конкурс микс
октябрь,2025-10-31 14:00:00,691.0,55.0,0.07959479016,82315.0,119.1244573,микс
ноябрь,2025-11-12 14:00:00,374.0,26.0,0.06951871658,48346.25,129.2680481,микс
декабрь,2025-12-10 14:00:00,105.0,5.0,0.04761904762,42665.0,406.3333333,мульт
январь,2026-01-29 14:00:00,353.0,,,28308.0,80.19263456,микс
март,2026-03-27 14:00:00,85.0,,,20684.0,243.3411765,
апрель,29.04.2026.14:00,196.0,,,31818.0,162.3367347,tg
май,2026-05-19 00:00:00,232.0,,,49766.0,214.5086207,smart
