месяц,дата,приведено,отписки,%отписок,потрачено,ст-ть_подп,крео
август,2025-08-06 09:00:00,230,9.0,0.03913043478,12316.0,53.54782609,71/72/73/74
август,2025-08-08 09:00:00,59,11.0,0.186440678,7952.0,134.779661,71/72/73/74
август,2025-08-09 09:00:00,102,11.0,0.1078431373,6283.0,61.59803922,71/72/73
август,2025-08-11 09:00:00,53,4.0,0.07547169811,14638.0,276.1886792,71/72/73/74
август,2025-08-15 09:00:00,56,1.0,0.01785714286,7055.0,125.9821429,71/72/73
август,2025-08-17 09:00:00,22,5.0,0.2272727273,2325.0,105.6818182,71/73
август,2025-08-19 09:00:00,152,11.0,0.07236842105,5783.0,38.04605263,71/72/73/74
август,2025-08-20 09:00:00,147,13.0,0.08843537415,9640.0,65.57823129,71/72
август,2025-08-21 09:00:00,70,6.0,0.08571428571,5284.0,75.48571429,71/72
август,2025-08-22 09:00:00,104,6.0,0.05769230769,4283.0,41.18269231,71/72
август,2025-08-23 09:00:00,67,0.0,0,4383.0,65.41791045,71/72
август,2025-08-28 09:00:00,519,17.0,0.03275529865,10782.0,20.77456647,71/72/74
август,2025-08-29 09:00:00,126,8.0,0.06349206349,1214.0,9.634920635,72.0
август,2025-08-30 09:00:00,,,,2713.0,,72.0
сентябрь,2025-09-10 09:00:00,759,41.0,0.05401844532,17318.0,22.8168643,71/72/73/74
сентябрь,2025-09-20 09:00:00,774,48.0,0.06201550388,43629.0,56.36821705,71/73/74
сентябрь,2025-09-30 14:00:00,1265.0,59.0,0.04664031621,45459.0,35.93596838,71/73/74
октябрь,2025-10-09 14:00:00,100.0,5.0,0.05,38376.0,383.76,Конкурс
октябрь,2025-10-16 14:00:00,787.0,50.0,0.06353240152,27182.0,34.53875476,Конкурс
октябрь,2025-10-29 14:00:00,1162.0,78.0,0.06712564544,34491.0,29.68244406,79/78/77/71
ноябрь,2025-11-09 14:00:00,2573.0,99.0,0.03847648659,43556.0,16.92809949,
ноябрь,2025-11-19 14:00:00,900.0,49.0,0.05444444444,54868.0,60.96444444,
ноябрь,2025-11-29 14:00:00,647.0,35.0,0.05409582689,51962.0,80.3122102,
декабрь,2025-12-07 14:00:00,23.0,1.0,0.04347826087,58100.0,2526.086957,мультик
декабрь,2025-12-17 14:00:00,930.0,63.0,0.06774193548,53441.0,57.46344086,
декабрь,2025-12-24 14:00:00,772.0,32.0,0.0414507772,37441.0,48.49870466,
январь,2026-01-08 14:00:00,1073.0,41.0,0.03821062442,41952.0,39.09785648,
январь,2026-01-16 14:00:00,681.0,30.0,0.04405286344,33683.0,49.46108664,
январь,2026-01-29 14:00:00,728.0,40.0,0.05494505495,73192.0,100.5384615,
февраль,12.02.2026:14:00,716.0,46.0,0.06424581006,48311.0,67.47346369,
февраль,20.02.2026:14:00,367.0,35.0,0.09536784741,52299.0,142.5040872,
февраль,28.02.2026:14:00,372.0,29.0,0.07795698925,51790.0,139.2204301,
март,2026-03-12 14:00:00,60.0,6.0,0.1,53806.0,896.7666667,
март,2026-03-19 14:00:00,328.0,27.0,0.08231707317,15791.0,48.14329268,
март,2026-03-21 14:00:00,201.0,48.0,0.2388059701,13285.0,66.09452736,
март,2026-03-27 14:00:00,177.0,30.0,0.1694915254,15704.0,88.72316384,
март,2026-03-28 14:00:00,212.0,24.0,0.1132075472,49786.0,234.8396226,
апрель,19-30,1372.0,,,150000.0,109.3294461,
май,,963.0,,,104443.0,108.4558671,
июнь,,450.0,,,45025.0,100.0555556,
