Семантика,Октябрь,Ноябрь
"""потолкуем?",2.0,
«потолкуем?»,,1.0
архитектура потолкуем,,1.0
бренд потолкуем,1.0,
вселенная потолкуем,,1.0
где найти игру потолкуем,1.0,
где поиграть в потолкуем,1.0,
дзукаев сергей александрович адат игра потолкуем,1.0,
игра давай потолкуем,,2.0
игра на основе потолкуем,,1.0
"игра настольная ""потолкуем?"" «адат» дипломатия",,1.0
игра настольная поталкуем,,1.0
игра настольная потолкуем,,1.0
игра поталкуем,,1.0
игра поталкуем архитектура,,1.0
игра потокуем,1.0,
игра потолкуем,20.0,28.0
игра потолкуем аналоги,,1.0
игра потолкуем архитектура,,1.0
игра потолкуем все темы,,2.0
игра потолкуем где купить майкоп или как в нее играть?,,1.0
игра потолкуем где поиграть,,1.0
игра потолкуем дипломатич какая карта карта Россия,,1.0
игра потолкуем дипломатия,2.0,2.0
игра потолкуем дипломатия правила,,1.0
игра потолкуем для детей,1.0,
игра потолкуем как выбрать,,1.0
игра потолкуем кто автор,,1.0
игра потолкуем купить,2.0,2.0
игра потолкуем настольная,4.0,5.0
игра потолкуем настольная правила,,1.0
игра потолкуем обзор,1.0,
игра потолкуем официальный сайт,,2.0
игра потолкуем правила,1.0,
игра потолкуем приложение,,1.0
Игра потолкуем сайт,1.0,
игра потолкуем это,1.0,
игра потолкуем?,1.0,1.0
игры потолкуем купить и правила описание обучение,,1.0
игры про архитектуру,1.0,
интеллектуальная игра «потолкуем?» для студентов журфака во мгике,,1.0
интеллектуальная игра потмлааем отзывы,,1.0
компания потолкуем.ru,,1.0
купить игру потолкуем,,1.0
лысов евгений александрович ведущий потолкуем?,1.0,
марк давыдов потолкуем,,1.0
можно ли организовывать игры с целью заработка по игре потолкуем,1.0,
настольная игра поталкуем,1.0,1.0
настольная игра потолкуем,4.0,7.0
настольная игра потолкуем правила,2.0,
настольная игра потолкуем\,,1.0
настольные игры по русскому языку купить,,1.0
наука игра потолкуем,,1.0
по каким причинам можно вернуть настольную игру,1.0,
поталкуем игра,,1.0
потолкуем,13.0,16.0
потолкуем гейм адат,,1.0
потолкуем дипломатия,,1.0
потолкуем игра,8.0,10.0
потолкуем игра красноречие,1.0,
потолкуем игра настольная,1.0,
потолкуем игра паевская о ней,,1.0
потолкуем играмкупить,,1.0
потолкуем игры,7.0,1.0
Потолкуем инра,,1.0
потолкуем красноречие,,2.0
потолкуем красноречие описание,,1.0
потолкуем настольная игра,9.0,15.0
потолкуем настольная игра как играть,1.0,
потолкуем настольная игра купить,,1.0
потолкуем настольная игра попробуй продай,1.0,
потолкуем настольная игра правила,2.0,
потолкуем настольная игра сколько человек может играть,,1.0
потолкуем о,,1.0
потолкуем призвания игра,1.0,
потолкуем про,2.0,1.0
потолкуем распечатать,,1.0
потолкуем сайт,3.0,4.0
потолкуем сертификат,1.0,
потолкуем сертификат на проведении игр,1.0,
потолкуем толквариум,1.0,
потолкуем шрифт,,1.0
потолкуем? живопись. цена,1.0,
потолкуем? настольная игра,1.0,1.0
правила игры потолкуем,1.0,
проект потолкуем,1.0,
сайт потолкуем,1.0,
серия игр потолкуем,,1.0
толковариум,2.0,
что значит слово крыша уехала,,1.0
