,месяц:,май,,июнь,,,,июль,,,,,август,,,,,Сентябрь,,,,,Октябрь,,,,,,,
,неделя:,19.05 - 25.05,26.05 - 31.05,01.06 - 08.06,09.06 - 15.06,16.06 - 22.06,23.06 - 30.06,01.07 - 06.07,07.07 - 13.07,14.07 - 20.07,21.07 - 27.07,28.07 - 31.07,01.08 - 03.08,04.08 - 10.08,11.08 - 17.08,18.08 - 24.08,25.08 - 31.08,01.09 - 07.09,08.09 - 14.09,15.09 - 21.09,22.09 - 28.09,29.09 - 30.09,01.10 - 05.10,06.10 - 12.10,13.10 - 19.10,20.10 - 26.10,27.10 - 31.10,01.11 - 09.11,10.11 - 16.11,17.11 - 23.11
Итого:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,0,0,0,0,0,24854.87,12656.66,1408.58,7218.3,1543.69,1327.78,2672.22,19467.37,18199.31,29634.98,26684.89,59461.82,44475.45,50830.73,11001.89,1944.73,15322.37,44425.04,10134.79,1032.44,5734.82,354.72,1555.47,0
,Показы,0,0,0,0,0,110826,29807,6343,25226,7498,7645,11023,318514,227821,235834,323614,615164,467035,451015,160149,10000,305255,600734,182257,5747,28769,805,15561,0
,Клики,0,0,0,0,0,629,357,76,407,132,121,68,1628,1400,2029,2602,5759,3793,2688,792,66,1483,2912,706,83,469,10,132,0
,Подписки,0,0,0,0,0,0,0,0,0,0,0,0,635,729,776,410,913,999,890,349,12,603,1001,167,0,0,0,0,0
,Стоимост. клика,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.51489666,35.45282913,18.53394737,17.73538084,11.69462121,10.97338843,39.29735294,11.95784398,12.99950714,14.60570724,10.25553036,10.32502518,11.7256657,18.91024182,13.89127525,29.46560606,10.33200944,15.25585165,14.35522663,12.43903614,12.22776119,35.472,11.78386364,#DIV/0!
,Стоимост. подписки,0,0,0,0,0,24854.87,12656.66,1408.58,7218.3,1543.69,1327.78,2672.22,30.65727559,24.96475995,38.18940722,65.08509756,65.12795181,44.51996997,57.11317978,31.52404011,162.0608333,25.41023217,44.38065934,60.68736527,1032.44,5734.82,354.72,1555.47,0
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0.39004914,0.5207142857,0.382454411,0.1575710992,0.1585344678,0.2633799104,0.3311011905,0.4406565657,0.1818181818,0.4066082266,0.34375,0.2365439093,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Яндекс Директ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532.49,6195.37,2629.22,0,0,0,0,0,0,0,0,0,0,0,0
,Показы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,69148,19482,0,0,0,0,0,0,0,0,0,0,0,0
,Клики,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1423,446,0,0,0,0,0,0,0,0,0,0,0,0
,Подписки,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Стоимост. клика,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,121.81,4.35373858,5.895112108,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Стоимост. подписки,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532.49,3097.685,2629.22,0,0,0,0,0,0,0,0,0,0,0,0
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001405481377,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Единая перфоманс кампания (поиск),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,,,,,,,,,,,,,,,3532.49,,,,,,,,,,,,,,
,Показы,,,,,,,,,,,,,,,1371.0,,,,,,,,,,,,,,
,Клики,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,
,Подписки,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
,Стоимост. клика,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,121.81,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Стоимост. подписки,,,,,,,,,,,,,,,3532.49,,,,,,,,,,,,,,
