сегмент,кол-во_размещений,просмотры,цена_руб,avg_cpv
литература,88,231270.0,219212.62,0.9478644873956846
русский язык,42,125832.0,153633.74000000005,1.2209433212537355
история,70,211803.0,137756.48000000004,0.6503990972743542
образование,17,65871.0,98287.31,1.492118079276161
психология,20,53257.0,56804.13999999999,1.0666042022644908
конкурс,15,44951.0,53542.74,1.1911356810749483
мульт,14,41651.0,42666.380000000005,1.0243782862356248
религия,18,23778.0,25206.229999999996,1.06006518630667
политика,10,22841.0,25116.06,1.0996042204807146
мамы / дети,7,32036.0,24225.859999999997,0.756207391684355
саморазвитие,9,18409.0,22902.070000000003,1.2440692052800262
бизнес,8,15744.0,20845.59,1.3240339176829268
интересные факты,16,38811.0,15348.93,0.3954788590863415
новости и история,4,19373.0,13324.22,0.6877726733082125
ваше внимание воруют каждые 5 секунд,3,12985.0,5635.0,0.4339622641509434
рассказы,1,3692.0,2398.6,0.6496749729144095
актер,1,386.0,1079.37,2.7962953367875647
