публикация,сегмент,название,ссылка,просмотры,цена,cpv,статус,привлечено,ст-ть_подп,отписки,%отписок
2025-09-10 09:01:00,75 Русский язык,Остроумный спикер,https://t.me/ostroymniispeaker,694.0,1006.99,1.450994236,Завершен,17.0,59.23470588,1.0,0.05882352941
2025-09-10 19:50:00,75 Русский язык,Лингвистические истории,https://t.me/linguisticstory,2849.0,4195.8,1.472727273,Завершен,58.0,72.34137931,9.0,0.1551724138
2025-09-10 10:02:00,75 Русский язык,Простым языком,https://t.me/prostyazikom,5670.0,5412.58,0.9545996473,Завершен,61.0,88.73081967,8.0,0.131147541
2025-09-10 09:30:00,75 Русский язык,Словарь Ожегова. Толковый словарь русского языка для школьников и взрослых,https://t.me/ozhegov_tg,205.0,335.66,1.637365854,Завершен,3.0,111.8866667,0.0,0
2025-09-10 09:05:00,75 Русский язык,Буква «Ё»,https://t.me/gramota,1975.0,3020.98,1.529610127,Завершен,19.0,158.9989474,1.0,0.05263157895
2025-09-10 11:16:00,75 Русский язык,Жи-Ши | Русский язык,https://t.me/zhishiru,1516.0,1258.74,0.8303034301,Завершен,7.0,179.82,1.0,0.1428571429
2025-09-10 10:00:00,75 Русский язык,Не перепутай!,https://t.me/nepereputai,9940.0,7552.44,0.7598028169,Завершен,33.0,228.8618182,2.0,0.06060606061
2025-09-10 09:58:00,75 Русский язык,Красное словцо 📕,https://t.me/krasnoe_slovco,1000.0,1006.99,1.00699,Завершен,3.0,335.6633333,1.0,0.3333333333
2025-09-10 09:30:00,75 Русский язык,О русском и не только,https://t.me/teacher_larisa_sergeevna,447.0,2013.98,4.505548098,Завершен,4.0,503.495,0.0,0
2025-09-13 22:00:00,76 Политика,Коррупция?! Коррупция!,https://t.me/procorruptio,1080.0,699.3,0.6475,Завершен,11.0,63.57272727,3.0,0.2727272727
2025-09-13 09:08:00,76 Политика,Бдящий Филин,https://t.me/bd_filin,1646.0,977.62,0.5939368165,Завершен,13.0,75.20153846,2.0,0.1538461538
2025-09-13 12:05:00,76 Политика,Репортёр Папилкин,https://t.me/poslevkusiepapilkina,1810.0,699.3,0.3863535912,Завершен,7.0,99.9,0.0,0
2025-09-13 09:10:00,76 Политика,КПО - Канал повышения осознанности,https://t.me/anna_kpo,1643.0,2377.62,1.44712112,Завершен,6.0,396.27,1.0,0.1666666667
2025-09-13 09:41:00,76 Политика,Пикник на обочине,https://t.me/picnicelena,10300.0,13986.0,1.357864078,Завершен,35.0,399.6,5.0,0.1428571429
