sheet,block,metric,week,value
OZON,Итого,Расход,19.05 - 25.05,12639.67
OZON,Итого,Расход,26.05 - 31.05,12495.9
OZON,Итого,Расход,01.06 - 08.06,22863.03
OZON,Итого,Расход,09.06 - 15.06,1.16
OZON,Итого,Расход,16.06 - 22.06,30600.86
OZON,Итого,Расход,23.06 - 30.06,105427.21
OZON,Итого,Расход,01.07 - 06.07,40639.55
OZON,Итого,Расход,07.07 - 13.07,16773.97
OZON,Итого,Расход,14.07 - 20.07,13888.3
OZON,Итого,Расход,21.07 - 27.07,13640.69
OZON,Итого,Расход,28.07 - 31.07,26319.78
OZON,Итого,Расход,01.08 - 03.08,22474.22
OZON,Итого,Расход,04.08 - 10.08,0
OZON,Итого,Показы,19.05 - 25.05,33105
OZON,Итого,Показы,26.05 - 31.05,6751
OZON,Итого,Показы,01.06 - 08.06,3884
OZON,Итого,Показы,09.06 - 15.06,5
OZON,Итого,Показы,16.06 - 22.06,240601
OZON,Итого,Показы,23.06 - 30.06,780742
OZON,Итого,Показы,01.07 - 06.07,267660
OZON,Итого,Показы,07.07 - 13.07,18056
OZON,Итого,Показы,14.07 - 20.07,30586
OZON,Итого,Показы,21.07 - 27.07,12459
OZON,Итого,Показы,28.07 - 31.07,9709
OZON,Итого,Показы,01.08 - 03.08,12587
OZON,Итого,Показы,04.08 - 10.08,0
OZON,Итого,Клики,19.05 - 25.05,4083
OZON,Итого,Клики,26.05 - 31.05,771
OZON,Итого,Клики,01.06 - 08.06,268
OZON,Итого,Клики,09.06 - 15.06,1
OZON,Итого,Клики,16.06 - 22.06,4671
OZON,Итого,Клики,23.06 - 30.06,9194
OZON,Итого,Клики,01.07 - 06.07,3286
OZON,Итого,Клики,07.07 - 13.07,317
OZON,Итого,Клики,14.07 - 20.07,528
OZON,Итого,Клики,21.07 - 27.07,261
OZON,Итого,Клики,28.07 - 31.07,151
OZON,Итого,Клики,01.08 - 03.08,92
OZON,Итого,Клики,04.08 - 10.08,0
OZON,Итого,Сессии в OZON,19.05 - 25.05,1713
OZON,Итого,Сессии в OZON,26.05 - 31.05,464
OZON,Итого,Сессии в OZON,01.06 - 08.06,207
OZON,Итого,Сессии в OZON,09.06 - 15.06,0
OZON,Итого,Сессии в OZON,16.06 - 22.06,44
OZON,Итого,Сессии в OZON,23.06 - 30.06,783
OZON,Итого,Сессии в OZON,01.07 - 06.07,326
OZON,Итого,Сессии в OZON,07.07 - 13.07,204
OZON,Итого,Сессии в OZON,14.07 - 20.07,121
OZON,Итого,Сессии в OZON,21.07 - 27.07,129
OZON,Итого,Сессии в OZON,28.07 - 31.07,30
OZON,Итого,Сессии в OZON,01.08 - 03.08,24
OZON,Итого,Сессии в OZON,04.08 - 10.08,0
OZON,Итого,Корзина,19.05 - 25.05,79
OZON,Итого,Корзина,26.05 - 31.05,35
OZON,Итого,Корзина,01.06 - 08.06,61
OZON,Итого,Корзина,09.06 - 15.06,63
OZON,Итого,Корзина,16.06 - 22.06,94
OZON,Итого,Корзина,23.06 - 30.06,139
OZON,Итого,Корзина,01.07 - 06.07,70
OZON,Итого,Корзина,07.07 - 13.07,53
OZON,Итого,Корзина,14.07 - 20.07,38
OZON,Итого,Корзина,21.07 - 27.07,65
OZON,Итого,Корзина,28.07 - 31.07,35
OZON,Итого,Корзина,01.08 - 03.08,28
OZON,Итого,Корзина,04.08 - 10.08,0
OZON,Итого,Продажи,19.05 - 25.05,9
OZON,Итого,Продажи,26.05 - 31.05,12
OZON,Итого,Продажи,01.06 - 08.06,11
OZON,Итого,Продажи,09.06 - 15.06,12
OZON,Итого,Продажи,16.06 - 22.06,13
OZON,Итого,Продажи,23.06 - 30.06,18
OZON,Итого,Продажи,01.07 - 06.07,16
OZON,Итого,Продажи,07.07 - 13.07,12
OZON,Итого,Продажи,14.07 - 20.07,12
OZON,Итого,Продажи,21.07 - 27.07,12
OZON,Итого,Продажи,28.07 - 31.07,2
OZON,Итого,Продажи,01.08 - 03.08,2
OZON,Итого,Продажи,04.08 - 10.08,0
